# Étalon n°; Conductivité de la solution (us/cm);Conductivité de la solution à 25°C (uS/cm);Température de l'échantillon (°C);Tension mesurée par le conductimètre (V)
1.00;4782.65;5000.00;22.62;150.00
2.00;4782.65;5000.00;22.62;150.00
3.00;4782.65;5000.00;22.62;150.00
4.00;4786.30;5000.00;22.66;149.00
5.00;4786.30;5000.00;22.66;150.00
6.00;4789.04;5000.00;22.69;149.00
7.00;4786.30;5000.00;22.66;150.00
8.00;4789.04;5000.00;22.69;149.00
9.00;4791.78;5000.00;22.72;149.00
10.00;4791.78;5000.00;22.72;150.00
11.00;4791.78;5000.00;22.72;149.00
12.00;4791.78;5000.00;22.72;149.00
13.00;4795.44;5000.00;22.76;149.00
14.00;4795.44;5000.00;22.76;149.00
15.00;4798.18;5000.00;22.79;149.00
16.00;4798.18;5000.00;22.79;149.00
17.00;4798.18;5000.00;22.79;150.00
18.00;4798.18;5000.00;22.79;150.00
19.00;4798.18;5000.00;22.79;149.00
20.00;4801.83;5000.00;22.83;149.00
21.00;4801.83;5000.00;22.83;150.00
22.00;4801.83;5000.00;22.83;150.00
23.00;4801.83;5000.00;22.83;150.00
24.00;4804.57;5000.00;22.86;150.00
25.00;4801.83;5000.00;22.83;150.00
26.00;4807.31;5000.00;22.89;150.00
27.00;4804.57;5000.00;22.86;149.00
28.00;4807.31;5000.00;22.89;149.00
29.00;4804.57;5000.00;22.86;151.00
30.00;4807.31;5000.00;22.89;149.00
31.00;4810.96;5000.00;22.93;149.00
32.00;4807.31;5000.00;22.89;150.00
33.00;4807.31;5000.00;22.89;149.00
34.00;4810.96;5000.00;22.93;150.00
35.00;4810.96;5000.00;22.93;149.00
36.00;4810.96;5000.00;22.93;150.00
37.00;4810.96;5000.00;22.93;148.00
38.00;4813.70;5000.00;22.96;150.00
39.00;4810.96;5000.00;22.93;150.00
40.00;4810.96;5000.00;22.93;151.00
41.00;4813.70;5000.00;22.96;150.00
42.00;4813.70;5000.00;22.96;149.00
43.00;4813.70;5000.00;22.96;150.00
44.00;4813.70;5000.00;22.96;149.00
45.00;4817.35;5000.00;23.00;149.00
46.00;4817.35;5000.00;23.00;149.00
47.00;4813.70;5000.00;22.96;150.00
48.00;4817.35;5000.00;23.00;150.00
49.00;4817.35;5000.00;23.00;149.00
50.00;4817.35;5000.00;23.00;149.00
51.00;4817.35;5000.00;23.00;150.00
52.00;4817.35;5000.00;23.00;149.00
53.00;4817.35;5000.00;23.00;150.00
54.00;4817.35;5000.00;23.00;149.00
55.00;4820.09;5000.00;23.03;150.00
56.00;4817.35;5000.00;23.00;149.00
57.00;4817.35;5000.00;23.00;150.00
58.00;4822.83;5000.00;23.06;149.00
59.00;4820.09;5000.00;23.03;150.00
60.00;4820.09;5000.00;23.03;149.00
61.00;4820.09;5000.00;23.03;149.00
62.00;4820.09;5000.00;23.03;150.00
63.00;4820.09;5000.00;23.03;150.00
64.00;4820.09;5000.00;23.03;149.00
65.00;4820.09;5000.00;23.03;150.00
66.00;4820.09;5000.00;23.03;149.00
67.00;4820.09;5000.00;23.03;150.00
68.00;4820.09;5000.00;23.03;150.00
69.00;4820.09;5000.00;23.03;149.00
70.00;4822.83;5000.00;23.06;150.00
71.00;4822.83;5000.00;23.06;150.00
72.00;4820.09;5000.00;23.03;150.00
73.00;4820.09;5000.00;23.03;149.00
74.00;4822.83;5000.00;23.06;150.00
75.00;4822.83;5000.00;23.06;149.00
76.00;4822.83;5000.00;23.06;150.00
77.00;4820.09;5000.00;23.03;151.00
78.00;4822.83;5000.00;23.06;150.00
79.00;4822.83;5000.00;23.06;150.00
80.00;4822.83;5000.00;23.06;151.00
81.00;4826.49;5000.00;23.10;150.00
82.00;4822.83;5000.00;23.06;149.00
83.00;4822.83;5000.00;23.06;149.00
84.00;4826.49;5000.00;23.10;149.00
85.00;4826.49;5000.00;23.10;150.00
86.00;4822.83;5000.00;23.06;149.00
87.00;4826.49;5000.00;23.10;149.00
88.00;4826.49;5000.00;23.10;150.00
89.00;4826.49;5000.00;23.10;149.00
90.00;4826.49;5000.00;23.10;150.00
91.00;4826.49;5000.00;23.10;149.00
92.00;4826.49;5000.00;23.10;149.00
93.00;4826.49;5000.00;23.10;149.00
94.00;4826.49;5000.00;23.10;150.00
95.00;4826.49;5000.00;23.10;149.00
96.00;4826.49;5000.00;23.10;149.00
97.00;4826.49;5000.00;23.10;150.00
98.00;4826.49;5000.00;23.10;149.00
99.00;4829.23;5000.00;23.13;150.00
100.00;4826.49;5000.00;23.10;149.00
101.00;4829.23;5000.00;23.13;150.00
102.00;4826.49;5000.00;23.10;149.00
103.00;4826.49;5000.00;23.10;149.00
104.00;4826.49;5000.00;23.10;149.00
105.00;4826.49;5000.00;23.10;149.00
106.00;4826.49;5000.00;23.10;149.00
107.00;4826.49;5000.00;23.10;150.00
108.00;4826.49;5000.00;23.10;149.00
109.00;4826.49;5000.00;23.10;149.00
110.00;4826.49;5000.00;23.10;150.00
111.00;4826.49;5000.00;23.10;150.00
112.00;4829.23;5000.00;23.13;149.00
113.00;4829.23;5000.00;23.13;149.00
114.00;4829.23;5000.00;23.13;149.00
115.00;4829.23;5000.00;23.13;150.00
116.00;4826.49;5000.00;23.10;150.00
117.00;4829.23;5000.00;23.13;149.00
118.00;4826.49;5000.00;23.10;150.00
119.00;4829.23;5000.00;23.13;150.00
120.00;4829.23;5000.00;23.13;150.00
121.00;4826.49;5000.00;23.10;150.00
122.00;4826.49;5000.00;23.10;150.00
123.00;4829.23;5000.00;23.13;151.00
124.00;4829.23;5000.00;23.13;149.00
125.00;4829.23;5000.00;23.13;150.00
126.00;4829.23;5000.00;23.13;149.00
127.00;4829.23;5000.00;23.13;149.00
128.00;4829.23;5000.00;23.13;150.00
129.00;4829.23;5000.00;23.13;149.00
130.00;4831.97;5000.00;23.16;149.00
131.00;4829.23;5000.00;23.13;149.00
132.00;4826.49;5000.00;23.10;149.00
133.00;4829.23;5000.00;23.13;150.00
134.00;4829.23;5000.00;23.13;149.00
135.00;4829.23;5000.00;23.13;149.00
136.00;4831.97;5000.00;23.16;150.00
137.00;4829.23;5000.00;23.13;150.00
138.00;4831.97;5000.00;23.16;149.00
139.00;4829.23;5000.00;23.13;150.00
140.00;4829.23;5000.00;23.13;150.00
141.00;4829.23;5000.00;23.13;149.00
142.00;4829.23;5000.00;23.13;150.00
143.00;4829.23;5000.00;23.13;150.00
144.00;4829.23;5000.00;23.13;150.00
145.00;4831.97;5000.00;23.16;150.00
146.00;4829.23;5000.00;23.13;149.00
147.00;4831.97;5000.00;23.16;150.00
148.00;4829.23;5000.00;23.13;149.00
149.00;4831.97;5000.00;23.16;150.00
150.00;4829.23;5000.00;23.13;149.00
151.00;4831.97;5000.00;23.16;149.00
152.00;4829.23;5000.00;23.13;150.00
153.00;4831.97;5000.00;23.16;149.00
154.00;4831.97;5000.00;23.16;149.00
155.00;4829.23;5000.00;23.13;151.00
156.00;4831.97;5000.00;23.16;149.00
157.00;4831.97;5000.00;23.16;150.00
158.00;4831.97;5000.00;23.16;150.00
159.00;4831.97;5000.00;23.16;150.00
160.00;4829.23;5000.00;23.13;149.00
