# Etalon; Conductivite;Conductivite_25;Temperature;Tension
1.00;1382.29;1413.00;23.81;38.00
2.00;1382.29;1413.00;23.81;38.00
3.00;1382.29;1413.00;23.81;39.00
4.00;1382.29;1413.00;23.81;38.00
5.00;1383.06;1413.00;23.84;39.00
6.00;1382.29;1413.00;23.81;39.00
7.00;1382.29;1413.00;23.81;38.00
8.00;1382.29;1413.00;23.81;39.00
9.00;1383.06;1413.00;23.84;39.00
10.00;1382.29;1413.00;23.81;39.00
11.00;1382.29;1413.00;23.81;38.00
12.00;1382.29;1413.00;23.81;39.00
13.00;1382.29;1413.00;23.81;39.00
14.00;1382.29;1413.00;23.81;40.00
15.00;1382.29;1413.00;23.81;39.00
16.00;1383.06;1413.00;23.84;39.00
17.00;1382.29;1413.00;23.81;39.00
18.00;1382.29;1413.00;23.81;38.00
19.00;1382.29;1413.00;23.81;39.00
20.00;1382.29;1413.00;23.81;39.00
21.00;1383.06;1413.00;23.84;39.00
22.00;1382.29;1413.00;23.81;40.00
23.00;1382.29;1413.00;23.81;39.00
24.00;1382.29;1413.00;23.81;39.00
25.00;1383.06;1413.00;23.84;39.00
26.00;1382.29;1413.00;23.81;38.00
27.00;1382.29;1413.00;23.81;38.00
28.00;1382.29;1413.00;23.81;39.00
29.00;1383.06;1413.00;23.84;38.00
30.00;1383.06;1413.00;23.84;39.00
31.00;1383.06;1413.00;23.84;39.00
32.00;1382.29;1413.00;23.81;39.00
33.00;1382.29;1413.00;23.81;38.00
34.00;1382.29;1413.00;23.81;38.00
35.00;1382.29;1413.00;23.81;39.00
36.00;1382.29;1413.00;23.81;39.00
37.00;1383.06;1413.00;23.84;38.00
38.00;1382.29;1413.00;23.81;38.00
39.00;1383.06;1413.00;23.84;37.00
40.00;1383.06;1413.00;23.84;39.00
41.00;1382.29;1413.00;23.81;38.00
42.00;1382.29;1413.00;23.81;38.00
43.00;1381.26;1413.00;23.77;39.00
44.00;1382.29;1413.00;23.81;39.00
45.00;1382.29;1413.00;23.81;39.00
46.00;1383.06;1413.00;23.84;39.00
47.00;1382.29;1413.00;23.81;38.00
48.00;1382.29;1413.00;23.81;39.00
49.00;1383.06;1413.00;23.84;38.00
50.00;1382.29;1413.00;23.81;39.00
51.00;1383.06;1413.00;23.84;39.00
52.00;1383.06;1413.00;23.84;39.00
53.00;1383.06;1413.00;23.84;39.00
54.00;1381.26;1413.00;23.77;39.00
55.00;1382.29;1413.00;23.81;38.00
56.00;1382.29;1413.00;23.81;39.00
57.00;1382.29;1413.00;23.81;39.00
58.00;1382.29;1413.00;23.81;39.00
59.00;1382.29;1413.00;23.81;39.00
60.00;1382.29;1413.00;23.81;38.00
61.00;1382.29;1413.00;23.81;38.00
62.00;1382.29;1413.00;23.81;38.00
63.00;1382.29;1413.00;23.81;39.00
64.00;1382.29;1413.00;23.81;40.00
65.00;1383.06;1413.00;23.84;39.00
66.00;1382.29;1413.00;23.81;38.00
67.00;1382.29;1413.00;23.81;39.00
68.00;1383.06;1413.00;23.84;39.00
69.00;1382.29;1413.00;23.81;39.00
70.00;1382.29;1413.00;23.81;38.00
71.00;1382.29;1413.00;23.81;39.00
72.00;1382.29;1413.00;23.81;39.00
73.00;1381.26;1413.00;23.77;39.00
74.00;1382.29;1413.00;23.81;39.00
75.00;1382.29;1413.00;23.81;39.00
76.00;1382.29;1413.00;23.81;37.00
77.00;1382.29;1413.00;23.81;38.00
78.00;1381.26;1413.00;23.77;39.00
79.00;1382.29;1413.00;23.81;39.00
80.00;1382.29;1413.00;23.81;39.00
81.00;1383.06;1413.00;23.84;38.00
82.00;1382.29;1413.00;23.81;39.00
83.00;1382.29;1413.00;23.81;38.00
84.00;1381.26;1413.00;23.77;38.00
85.00;1382.29;1413.00;23.81;39.00
86.00;1382.29;1413.00;23.81;39.00
87.00;1382.29;1413.00;23.81;39.00
88.00;1382.29;1413.00;23.81;38.00
89.00;1382.29;1413.00;23.81;38.00
90.00;1382.29;1413.00;23.81;38.00
91.00;1382.29;1413.00;23.81;39.00
92.00;1382.29;1413.00;23.81;38.00
93.00;1382.29;1413.00;23.81;39.00
94.00;1382.29;1413.00;23.81;38.00
95.00;1382.29;1413.00;23.81;40.00
96.00;1382.29;1413.00;23.81;39.00
97.00;1382.29;1413.00;23.81;38.00
98.00;1382.29;1413.00;23.81;38.00
99.00;1382.29;1413.00;23.81;38.00
100.00;1382.29;1413.00;23.81;39.00
101.00;1382.29;1413.00;23.81;39.00
102.00;1382.29;1413.00;23.81;38.00
103.00;1382.29;1413.00;23.81;38.00
104.00;1382.29;1413.00;23.81;38.00
