# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;4933.32;5098.13;23.23;147.00
1.00;4966.88;5132.82;23.23;148.00
2.00;4966.88;5132.82;23.23;148.00
3.00;4933.32;5098.13;23.23;147.00
4.00;4966.88;5132.82;23.23;148.00
5.00;4933.32;5098.13;23.23;147.00
6.00;4933.32;5094.29;23.27;147.00
7.00;4933.32;5094.29;23.27;147.00
8.00;4933.32;5094.29;23.27;147.00
9.00;4966.88;5128.94;23.27;148.00
10.00;4933.32;5098.13;23.23;147.00
11.00;4966.88;5128.94;23.27;148.00
12.00;4966.88;5128.94;23.27;148.00
13.00;4966.88;5128.94;23.27;148.00
14.00;4933.32;5098.13;23.23;147.00
15.00;4933.32;5094.29;23.27;147.00
16.00;4933.32;5094.29;23.27;147.00
17.00;4933.32;5094.29;23.27;147.00
18.00;4966.88;5132.82;23.23;148.00
19.00;4966.88;5128.94;23.27;148.00
20.00;4933.32;5094.29;23.27;147.00
21.00;4933.32;5098.13;23.23;147.00
22.00;4966.88;5128.94;23.27;148.00
23.00;4899.76;5059.63;23.27;146.00
24.00;4933.32;5094.29;23.27;147.00
25.00;4966.88;5132.82;23.23;148.00
26.00;4933.32;5094.29;23.27;147.00
27.00;4966.88;5128.94;23.27;148.00
28.00;4899.76;5059.63;23.27;146.00
29.00;4966.88;5128.94;23.27;148.00
30.00;4933.32;5094.29;23.27;147.00
31.00;4933.32;5094.29;23.27;147.00
32.00;4933.32;5094.29;23.27;147.00
33.00;4933.32;5094.29;23.27;147.00
34.00;4933.32;5094.29;23.27;147.00
35.00;4899.76;5056.77;23.30;146.00
36.00;4933.32;5094.29;23.27;147.00
37.00;4933.32;5094.29;23.27;147.00
38.00;4933.32;5094.29;23.27;147.00
39.00;4933.32;5094.29;23.27;147.00
40.00;4933.32;5094.29;23.27;147.00
41.00;4966.88;5128.94;23.27;148.00
42.00;4933.32;5094.29;23.27;147.00
43.00;4933.32;5094.29;23.27;147.00
44.00;4933.32;5094.29;23.27;147.00
45.00;4966.88;5132.82;23.23;148.00
46.00;4933.32;5094.29;23.27;147.00
47.00;4966.88;5128.94;23.27;148.00
48.00;4933.32;5094.29;23.27;147.00
49.00;4933.32;5094.29;23.27;147.00
50.00;4933.32;5098.13;23.23;147.00
51.00;4966.88;5128.94;23.27;148.00
52.00;4899.76;5059.63;23.27;146.00
53.00;4933.32;5094.29;23.27;147.00
54.00;4899.76;5059.63;23.27;146.00
55.00;4966.88;5128.94;23.27;148.00
56.00;4966.88;5128.94;23.27;148.00
57.00;4933.32;5094.29;23.27;147.00
58.00;4933.32;5094.29;23.27;147.00
59.00;4933.32;5094.29;23.27;147.00
60.00;4966.88;5128.94;23.27;148.00
61.00;4933.32;5091.41;23.30;147.00
62.00;4933.32;5094.29;23.27;147.00
63.00;4933.32;5094.29;23.27;147.00
64.00;4933.32;5094.29;23.27;147.00
65.00;4933.32;5094.29;23.27;147.00
66.00;4899.76;5059.63;23.27;146.00
67.00;4933.32;5094.29;23.27;147.00
68.00;4966.88;5128.94;23.27;148.00
69.00;4933.32;5094.29;23.27;147.00
70.00;4933.32;5094.29;23.27;147.00
71.00;4933.32;5094.29;23.27;147.00
72.00;4933.32;5094.29;23.27;147.00
73.00;4933.32;5094.29;23.27;147.00
74.00;4933.32;5094.29;23.27;147.00
75.00;4966.88;5128.94;23.27;148.00
76.00;4933.32;5094.29;23.27;147.00
77.00;4966.88;5128.94;23.27;148.00
78.00;4933.32;5094.29;23.27;147.00
79.00;4966.88;5128.94;23.27;148.00
80.00;4933.32;5094.29;23.27;147.00
81.00;4933.32;5094.29;23.27;147.00
82.00;4933.32;5094.29;23.27;147.00
83.00;4966.88;5126.04;23.30;148.00
84.00;4933.32;5094.29;23.27;147.00
85.00;4899.76;5059.63;23.27;146.00
86.00;4933.32;5094.29;23.27;147.00
87.00;4933.32;5094.29;23.27;147.00
88.00;4966.88;5126.04;23.30;148.00
89.00;4966.88;5128.94;23.27;148.00
90.00;4933.32;5094.29;23.27;147.00
91.00;4966.88;5132.82;23.23;148.00
92.00;4933.32;5094.29;23.27;147.00
93.00;4966.88;5128.94;23.27;148.00
94.00;4966.88;5128.94;23.27;148.00
95.00;4933.32;5094.29;23.27;147.00
96.00;4933.32;5094.29;23.27;147.00
97.00;4933.32;5094.29;23.27;147.00
98.00;4933.32;5094.29;23.27;147.00
99.00;4933.32;5094.29;23.27;147.00
